all_reports_hit,case_count,complete_evidence_recall,configuration_checksum,created_at_utc,evidence_recall,experiment_id,integrity_status,loss_stage_counts,macro_report_mrr,mean_estimated_tokens,mean_latency_ms,mean_repeated_text_ratio,mean_selected_chunks,mean_unique_pages,median_latency_ms,p95_latency_ms,parser_name,parser_provider,reason,report_coverage,reranker_model,reranker_provider,schema_version,scored_case_count,single_report_contamination,status
0.5,34,0.4666666666666667,ec23bed868d042a36a380950fdbc051f9a2fb4c39a65ac04c3d227cabbc8b248,2026-07-16T12:06:28.076264+00:00,0.6,V2_COHERE_ONLY,,"{""evidence_found"": 32, ""lost_by_quota"": 9, ""lost_in_fusion"": 7, ""not_in_candidate_union"": 6}",0.41537037037037033,2097.2,11548.754009998811,0.0,9.0,7.666666666666667,12948.27224999608,19517.238900007214,PyPDFLoader,pypdfloader,,1.0,rerank-v3.5,cohere,1,30,0.0,
0.4,34,0.36666666666666664,aa1f42863a19676e41bf06a8752477cb35851d20845dbc27267da24a0f2e2003,2026-07-16T12:00:41.152281+00:00,0.5055555555555555,V2_BASELINE_FINAL,,"{""evidence_found"": 28, ""lost_by_quota"": 13, ""lost_in_fusion"": 7, ""not_in_candidate_union"": 6}",0.3537037037037037,2150.9333333333334,3168.6039699993366,0.0,9.0,7.633333333333334,3159.0397500112886,5449.888599992846,PyPDFLoader,pypdfloader,,1.0,cross-encoder/ms-marco-MiniLM-L-6-v2,local_cross_encoder,1,30,0.0,
,,,,2026-07-16T12:00:41.449001+00:00,,V2_UNSTRUCTURED_ONLY,skipped,,,,,,,,,,,,RuntimeError: Unstructured extraction failed for rbi_mpr_2025_04: OCRUnavailable: OCR fallback was skipped because tesseract is not installed or not on PATH.,,,,,,,skipped
,,,,2026-07-16T12:06:28.382296+00:00,,V2_UNSTRUCTURED_COHERE,skipped,,,,,,,,,,,,RuntimeError: Unstructured extraction failed for rbi_mpr_2025_04: OCRUnavailable: OCR fallback was skipped because tesseract is not installed or not on PATH.,,,,,,,skipped
