all_reports_hit,case_count,category,category_type,complete_evidence_recall,evidence_recall,experiment_id,macro_report_mrr,mean_estimated_tokens,mean_latency_ms,mean_selected_chunks,median_latency_ms,p95_latency_ms,report_coverage,scored_case_count,single_report_contamination
0.5,6,April 2026,report_pair,0.5,0.5,V2_COHERE_ONLY,0.2916666666666667,1398.3333333333333,6494.493666660371,6.0,6508.142649996444,6521.6020999941975,1.0,6,0.0
1.0,6,October 2025,report_pair,1.0,1.0,V2_COHERE_ONLY,0.8055555555555555,1376.1666666666667,5716.804283333961,6.0,6330.576100001053,6561.3037000002805,1.0,6,0.0
0.25,4,October 2025 vs April 2026,report_pair,0.25,0.5,V2_COHERE_ONLY,0.2708333333333333,2299.75,13004.513824998867,10.0,12997.986150003271,13038.945100008277,1.0,4,
0.3333333333333333,6,all three reports,report_pair,0.3333333333333333,0.5,V2_COHERE_ONLY,0.3101851851851852,3078.6666666666665,19543.317333336745,13.0,19495.89830000332,19675.42830000457,1.0,6,
,4,unsupported,report_pair,,,V2_COHERE_ONLY,,,,,,,,0,
0.0,1,chart_or_figure,source_structure,0.0,0.0,V2_COHERE_ONLY,0.0,1428.0,6521.6020999941975,6.0,6521.6020999941975,6521.6020999941975,1.0,1,0.0
0.6,6,mixed,source_structure,0.4,0.5,V2_COHERE_ONLY,0.16999999999999998,2205.4,11643.475019995822,9.4,12965.594299996155,13065.75699998939,1.0,5,0.0
0.5625,19,narrative,source_structure,0.5625,0.6458333333333334,V2_COHERE_ONLY,0.4496527777777778,2065.9375,11113.556812499155,8.8125,12942.330449994188,19517.238900007214,1.0,16,0.0
0.375,8,table,source_structure,0.375,0.6458333333333334,V2_COHERE_ONLY,0.5520833333333334,2175.75,12988.341762500568,9.5,12965.31039999536,19327.813800002332,1.0,8,0.0
0.6,13,False,table_or_numeric_questions,0.6,0.7,V2_COHERE_ONLY,0.5125,1799.0,9340.773849998368,7.8,6564.107449994481,13082.56569999503,1.0,10,0.0
0.45,21,True,table_or_numeric_questions,0.4,0.55,V2_COHERE_ONLY,0.36680555555555555,2246.3,12652.744089999032,9.6,12961.31074999721,19675.42830000457,1.0,20,0.0
0.4,5,commodity_assumptions,topic,0.4,0.6333333333333333,V2_COHERE_ONLY,0.6,2067.0,11737.992219999433,8.8,12827.993200000492,12991.103499996825,1.0,5,0.0
0.5,2,core_inflation,topic,0.5,0.5,V2_COHERE_ONLY,0.25,1459.0,6337.218499997107,6.0,6337.218499997107,6254.650000002584,1.0,2,0.0
0.8,5,fiscal_borrowing,topic,0.8,0.9,V2_COHERE_ONLY,0.6,2052.6,11756.567059998633,8.8,13054.815800001961,13082.56569999503,1.0,5,0.0
0.4,5,food_inflation,topic,0.4,0.5666666666666667,V2_COHERE_ONLY,0.4083333333333333,2041.2,10817.288199998438,8.8,12927.63369999011,13038.945100008277,1.0,5,0.0
0.4,5,global_growth,topic,0.4,0.6,V2_COHERE_ONLY,0.4833333333333333,1981.4,11650.820179999573,8.8,12939.517299993895,13078.981500002556,1.0,5,0.0
0.0,1,growth_outlook,topic,0.0,0.0,V2_COHERE_ONLY,0.0,2188.0,13004.99430000491,10.0,13004.99430000491,13004.99430000491,1.0,1,
0.0,1,inflation_outlook,topic,0.0,0.0,V2_COHERE_ONLY,0.0,2422.0,13065.75699998939,10.0,13065.75699998939,13065.75699998939,1.0,1,
0.6666666666666666,6,monetary_policy,topic,0.5,0.5833333333333334,V2_COHERE_ONLY,0.25046296296296294,2446.1666666666665,12984.015616665905,10.333333333333334,12961.31074999721,19474.557699999423,1.0,6,0.0
,4,unsupported,topic,,,V2_COHERE_ONLY,,,,,,,,0,
