split,architecture,mean_report_coverage,mean_report_coverage_ci_low,mean_report_coverage_ci_high,all_reports_hit_rate,all_reports_hit_rate_ci_low,all_reports_hit_rate_ci_high,macro_report_mrr,macro_report_mrr_ci_low,macro_report_mrr_ci_high,complete_evidence_recall,complete_evidence_recall_ci_low,complete_evidence_recall_ci_high,cross_report_contamination_rate,cross_report_contamination_rate_ci_low,cross_report_contamination_rate_ci_high
dev,report_aware,1.0,1.0,1.0,0.36666666666666664,0.21873920806100713,0.5448643634520512,0.33888888888888885,0.21944444444444444,0.46388888888888885,0.3333333333333333,0.19230498083676142,0.5121994835545616,0.0,0.0,0.2424940066552408
dev,naive_global,0.9388888888888889,0.85,1.0,0.16666666666666666,0.07336542371848548,0.3356435050641603,0.24166666666666667,0.1277777777777778,0.36944444444444446,0.1,0.03459988874733419,0.25621082579184085,0.9166666666666666,0.6461200888588832,0.9851349055950829
test,report_aware,0.9285714285714286,0.7857142857142857,1.0,0.38461538461538464,0.17709707797762575,0.644771084873343,0.26785714285714285,0.14285714285714285,0.3988095238095238,0.3076923076923077,0.12680703655710515,0.5763065681945096,0.0,0.0,0.39033428790216523
test,naive_global,0.5833333333333333,0.35714285714285715,0.7976190476190476,0.15384615384615385,0.04325817835808124,0.42234631019482527,0.17857142857142858,0.07142857142857142,0.2857142857142857,0.15384615384615385,0.04325817835808124,0.42234631019482527,0.8333333333333334,0.4364971778135299,0.9699466302516934
