absolute_difference,baseline_estimate,baseline_wins,ci_95_high,ci_95_low,conclusive,experiment_estimate,experiment_id,experiment_wins,metric,relative_difference,sample_size,ties
0.0,0.36666666666666664,0,0.0,0.0,False,0.36666666666666664,ADJ00,0,complete_evidence_recall,0.0,30,30
0.0,0.4,0,0.0,0.0,False,0.4,ADJ00,0,all_reports_hit,0.0,30,30
0.0,0.5055555555555555,0,0.0,0.0,False,0.5055555555555555,ADJ00,0,evidence_recall,0.0,30,30
0.0,0.31209150326797386,0,0.0,0.0,False,0.31209150326797386,ADJ00,0,macro_mrr,0.0,34,34
-421.77960293894796,3207.377491183305,31,-306.8892088160604,-535.7611147166394,True,2785.597888244357,ADJ00,3,median_latency,-0.1315029503382029,34,0
0.0,1897.8823529411766,0,0.0,0.0,False,1897.8823529411766,ADJ00,0,estimated_context_tokens,0.0,34,34
-0.06666666666666667,0.36666666666666664,2,0.0,-0.16666666666666666,False,0.3,ADJ01,0,complete_evidence_recall,-0.18181818181818182,30,28
-0.1,0.4,3,0.0,-0.2,False,0.3,ADJ01,0,all_reports_hit,-0.25,30,27
-0.05,0.5055555555555555,5,0.011111111111111112,-0.11666666666666667,False,0.45555555555555555,ADJ01,1,evidence_recall,-0.09890109890109891,30,24
-0.045098039215686274,0.31209150326797386,12,-0.023366013071895425,-0.07001633986928105,True,0.2669934640522876,ADJ01,0,macro_mrr,-0.14450261780104712,34,22
-455.2917647182339,3207.377491183305,30,-354.0242911960163,-562.5606588266023,True,2752.0857264650713,ADJ01,4,median_latency,-0.14195141232043193,34,0
277.61764705882354,1897.8823529411766,10,477.6470588235294,78.8529411764706,True,2175.5,ADJ01,20,estimated_context_tokens,0.1462775849243739,34,4
-0.1,0.36666666666666664,3,0.0,-0.2,False,0.26666666666666666,ADJ02,0,complete_evidence_recall,-0.27272727272727276,30,27
-0.1,0.4,3,0.0,-0.2,False,0.3,ADJ02,0,all_reports_hit,-0.25,30,27
-0.09444444444444446,0.5055555555555555,8,-0.016666666666666666,-0.17777777777777776,True,0.41111111111111115,ADJ02,1,evidence_recall,-0.18681318681318684,30,21
-0.06902427637721756,0.31209150326797386,14,-0.03740662931839402,-0.1097689075630252,True,0.2430672268907563,ADJ02,0,macro_mrr,-0.2211667913238594,34,20
-292.8233411803376,3207.377491183305,26,-159.2291617673575,-409.76140295285455,True,2914.5541500029676,ADJ02,8,median_latency,-0.09129681242238362,34,0
290.6470588235294,1897.8823529411766,11,492.8235294117647,84.82352941176471,True,2188.529411764706,ADJ02,19,estimated_context_tokens,0.15314282172080335,34,4
-0.03333333333333333,0.36666666666666664,1,0.0,-0.1,False,0.3333333333333333,ADJ03,0,complete_evidence_recall,-0.09090909090909091,30,29
-0.03333333333333333,0.4,1,0.0,-0.1,False,0.36666666666666664,ADJ03,0,all_reports_hit,-0.08333333333333333,30,29
-0.04444444444444444,0.5055555555555555,4,-0.01111111111111111,-0.08888888888888888,True,0.46111111111111114,ADJ03,0,evidence_recall,-0.0879120879120879,30,26
-0.01657329598506069,0.31209150326797386,4,-0.0024509803921568627,-0.03746498599439776,True,0.29551820728291317,ADJ03,0,macro_mrr,-0.053103964098728494,34,30
-405.21831764593065,3207.377491183305,29,-303.3394499866785,-507.7007088197313,True,2802.1591735373745,ADJ03,5,median_latency,-0.12633945295177354,34,0
-102.5,1897.8823529411766,6,-25.852941176470587,-200.64705882352942,True,1795.3823529411766,ADJ03,0,estimated_context_tokens,-0.05400756260848004,34,28
-0.16666666666666666,0.36666666666666664,5,-0.03333333333333333,-0.3,True,0.2,CPARENT01,0,complete_evidence_recall,-0.45454545454545453,30,25
0.0,0.4,0,0.0,0.0,False,0.4,CPARENT01,0,all_reports_hit,0.0,30,30
-0.2,0.5055555555555555,10,-0.08888888888888888,-0.3222222222222222,True,0.3055555555555555,CPARENT01,0,evidence_recall,-0.39560439560439564,30,20
0.0,0.31209150326797386,0,0.0,0.0,False,0.31209150326797386,CPARENT01,0,macro_mrr,0.0,34,34
-132.45911470456872,3207.377491183305,25,-59.6260411753867,-211.359429431682,True,3074.9183764787363,CPARENT01,9,median_latency,-0.04129826160739822,34,0
34.1764705882353,1897.8823529411766,9,58.11764705882353,13.558823529411764,True,1932.0588235294117,CPARENT01,18,estimated_context_tokens,0.018007686585668238,34,7
-0.3,0.36666666666666664,9,-0.16666666666666666,-0.4666666666666667,True,0.06666666666666667,CPARENT02,0,complete_evidence_recall,-0.8181818181818182,30,21
0.0,0.4,0,0.0,0.0,False,0.4,CPARENT02,0,all_reports_hit,0.0,30,30
-0.3111111111111111,0.5055555555555555,15,-0.18333333333333332,-0.4444444444444445,True,0.19444444444444445,CPARENT02,0,evidence_recall,-0.6153846153846154,30,15
0.0,0.31209150326797386,0,0.0,0.0,False,0.31209150326797386,CPARENT02,0,macro_mrr,0.0,34,34
34.87934116342598,3207.377491183305,17,169.5946911606691,-81.30877942312509,False,3242.2568323467312,CPARENT02,17,median_latency,0.010874722809929635,34,0
-133.3235294117647,1897.8823529411766,23,-63.88235294117647,-204.05882352941177,True,1764.5588235294117,CPARENT02,6,estimated_context_tokens,-0.07024857426233572,34,5
-0.23333333333333334,0.36666666666666664,7,-0.1,-0.36666666666666664,True,0.13333333333333333,CPARENT03,0,complete_evidence_recall,-0.6363636363636365,30,23
0.0,0.4,0,0.0,0.0,False,0.4,CPARENT03,0,all_reports_hit,0.0,30,30
-0.24444444444444444,0.5055555555555555,12,-0.12222222222222222,-0.3722222222222222,True,0.2611111111111111,CPARENT03,0,evidence_recall,-0.4835164835164835,30,18
0.0,0.31209150326797386,0,0.0,0.0,False,0.31209150326797386,CPARENT03,0,macro_mrr,0.0,34,34
-537.4794088300619,3207.377491183305,28,-348.5300911946551,-746.1586352951332,True,2669.8980823532434,CPARENT03,6,median_latency,-0.1675759745485301,34,0
35.470588235294116,1897.8823529411766,9,59.411764705882355,14.441176470588236,True,1933.3529411764705,CPARENT03,17,estimated_context_tokens,0.01868956112075378,34,8
0.0,0.36666666666666664,0,0.0,0.0,False,0.36666666666666664,EMB00,0,complete_evidence_recall,0.0,30,30
0.0,0.4,0,0.0,0.0,False,0.4,EMB00,0,all_reports_hit,0.0,30,30
0.0,0.5055555555555555,0,0.0,0.0,False,0.5055555555555555,EMB00,0,evidence_recall,0.0,30,30
0.0,0.31209150326797386,0,0.0,0.0,False,0.31209150326797386,EMB00,0,macro_mrr,0.0,34,34
363.15344705294325,3207.377491183305,5,507.9062646922573,209.83863527105902,True,3570.5309382362484,EMB00,29,median_latency,0.11322441716050212,34,0
0.0,1897.8823529411766,0,0.0,0.0,False,1897.8823529411766,EMB00,0,estimated_context_tokens,0.0,34,34
0.0,0.36666666666666664,0,0.0,0.0,False,0.36666666666666664,PARSER00,0,complete_evidence_recall,0.0,30,30
0.0,0.4,0,0.0,0.0,False,0.4,PARSER00,0,all_reports_hit,0.0,30,30
0.0,0.5055555555555555,0,0.0,0.0,False,0.5055555555555555,PARSER00,0,evidence_recall,0.0,30,30
0.0,0.31209150326797386,0,0.0,0.0,False,0.31209150326797386,PARSER00,0,macro_mrr,0.0,34,34
-467.3226941257085,3207.377491183305,32,-361.28105294911245,-580.3657117768821,True,2740.0547970575967,PARSER00,2,median_latency,-0.14570242991675358,34,0
0.0,1897.8823529411766,0,0.0,0.0,False,1897.8823529411766,PARSER00,0,estimated_context_tokens,0.0,34,34
0.0,0.36666666666666664,0,0.0,0.0,False,0.36666666666666664,RERANK00,0,complete_evidence_recall,0.0,30,30
